image,label
Ї_2,0
Ї_2,0
Ї_2,0
Ї_2,0
Ї_2,0
Ї_2,0
Ї_2,0
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
Ф_1,1
